
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1
SRP45,201405010000,82.24,7.29
SRP45,201405010005,81.97,7.22
SRP45,201405010010,80.31,7.43
SRP45,201405010015,80.71,7.51
SRP45,201405010020,81.1,7.39
SRP45,201405010025,80.6,7.42
SRP45,201405010030,80.56,7.48
SRP45,201405010035,80.19,7.54
SRP45,201405010040,79.39,7.65
SRP45,201405010045,79.11,7.7
SRP45,201405010050,78.96,7.76
SRP45,201405010055,78.93,7.84
SRP45,201405010100,78.85,7.95
SRP45,201405010105,78.78,7.85
SRP45,201405010110,78.73,7.88
SRP45,201405010115,78.69,7.85
SRP45,201405010120,78.67,7.82
SRP45,201405010125,78.55,7.94
SRP45,201405010130,78.37,8.04
SRP45,201405010135,78.22,8.11
SRP45,201405010140,78.1,8.13
SRP45,201405010145,78.03,8.1
SRP45,201405010150,77.92,8.12
SRP45,201405010155,77.79,8.08
SRP45,201405010200,77.68,8.09
SRP45,201405010205,77.49,8.16
SRP45,201405010210,77.38,8.1
SRP45,201405010215,77.41,8.01
SRP45,201405010220,77.36,7.94
SRP45,201405010225,77.2,8.01
SRP45,201405010230,77.0,8.09
SRP45,201405010235,76.77,8.05
SRP45,201405010240,76.48,7.99
SRP45,201405010245,76.12,8.18
SRP45,201405010250,75.76,8.47
SRP45,201405010255,75.4,8.84
SRP45,201405010300,74.95,9.15
SRP45,201405010305,74.43,9.39
SRP45,201405010310,73.99,9.56
SRP45,201405010315,73.69,9.71
SRP45,201405010320,73.44,9.78
SRP45,201405010325,73.17,9.88
SRP45,201405010330,72.93,9.96
SRP45,201405010335,72.73,10.05
SRP45,201405010340,72.55,10.1
SRP45,201405010345,72.36,10.18
SRP45,201405010350,72.18,10.19
SRP45,201405010355,72.05,10.2
SRP45,201405010400,71.85,10.35
SRP45,201405010405,71.65,10.43
SRP45,201405010410,71.56,10.42
SRP45,201405010415,71.4,10.53
SRP45,201405010420,71.33,10.55
SRP45,201405010425,71.26,10.56
SRP45,201405010430,71.08,10.71
SRP45,201405010435,70.93,10.76
SRP45,201405010440,70.84,10.74
SRP45,201405010445,70.75,10.76
SRP45,201405010450,70.54,10.85
SRP45,201405010455,70.38,10.95
SRP45,201405010500,70.32,10.95
SRP45,201405010505,70.23,11.04
SRP45,201405010510,70.12,11.01
SRP45,201405010515,70.05,11.06
SRP45,201405010520,69.96,11.18
SRP45,201405010525,69.84,11.27
SRP45,201405010530,69.73,11.42
SRP45,201405010535,69.64,11.54
SRP45,201405010540,69.48,11.8
SRP45,201405010545,69.33,11.91
SRP45,201405010550,69.28,11.92
SRP45,201405010555,69.15,11.98
SRP45,201405010600,69.04,12.11
SRP45,201405010605,68.97,12.26
SRP45,201405010610,68.88,12.3
SRP45,201405010615,68.77,12.34
SRP45,201405010620,68.65,12.5
SRP45,201405010625,68.61,12.56
SRP45,201405010630,68.45,12.63
SRP45,201405010635,68.38,12.75
SRP45,201405010640,68.41,12.75
SRP45,201405010645,68.47,12.74
SRP45,201405010650,68.43,12.72
SRP45,201405010655,68.31,12.92
SRP45,201405010700,68.13,13.2
SRP45,201405010705,68.05,13.17
SRP45,201405010710,68.0,13.09
SRP45,201405010715,67.82,13.29
SRP45,201405010720,67.89,13.21
SRP45,201405010725,67.95,13.31
SRP45,201405010730,67.93,13.52
SRP45,201405010735,67.95,13.51
SRP45,201405010740,67.93,13.53
SRP45,201405010745,67.96,13.55
SRP45,201405010750,68.02,13.52
SRP45,201405010755,68.02,13.56
SRP45,201405010800,68.0,13.54
SRP45,201405010805,68.02,13.58
SRP45,201405010810,67.95,13.74
SRP45,201405010815,67.89,13.66
SRP45,201405010820,67.78,13.74
SRP45,201405010825,67.66,13.85
SRP45,201405010830,67.5,14.15
SRP45,201405010835,67.48,14.08
SRP45,201405010840,67.41,14.08
SRP45,201405010845,67.3,14.15
SRP45,201405010850,67.44,14.11
SRP45,201405010855,67.51,14.22
SRP45,201405010900,67.5,14.32
SRP45,201405010905,67.48,14.33
SRP45,201405010910,67.41,14.71
SRP45,201405010915,67.41,14.64
