"GISJOIN,C,80","NHGISST,C,80","NHGISCT,C,80","SHAPE_A,N,24,15","SHAPE_L,N,24,15","SrfcTmA,N,24,15"
0400130050602,040,0130,1000208262.480000000000000,194332.624078000000000,16687.912068965500000
0400130104502,040,0130,1335697.523660000000000,5282.147306480000000,16687.500000000000000
0400130109703,040,0130,1296211.627490000000000,4840.850316040000000,16687.500000000000000
0400130109705,040,0130,525539.308696000000000,2951.977039160000000,16687.000000000000000
0400130112201,040,0130,1438659.494910000000000,5620.157457530000000,16687.000000000000000
0400130216824,040,0130,18323566.289400000000000,17943.159473000000000,16686.333333333300000
0400130093000,040,0130,2558461.505660000000000,6440.227839620000000,16685.500000000000000
0400130104600,040,0130,2742387.110400000000000,6843.004260180000000,16685.000000000000000
0400130112502,040,0130,1250866.402580000000000,4739.677820690000000,16685.000000000000000
0400130109702,040,0130,1428757.717820000000000,5204.277871050000000,16684.500000000000000
0400130030312,040,0130,6811040.608220000000000,13294.148127400000000,16682.333333333300000
0400130109300,040,0130,2561955.222380000000000,6407.316466310000000,16682.000000000000000
0400130218100,040,0130,980926.309142000000000,4031.075390470000000,16682.000000000000000
0400130030334,040,0130,2591624.844110000000000,6457.935985910000000,16679.500000000000000
0400130030335,040,0130,2585815.357210000000000,6414.078544400000000,16679.500000000000000
0400130092708,040,0130,2753992.845460000000000,6932.133522170000000,16678.000000000000000
0400130030319,040,0130,2587429.496960000000000,6422.514559750000000,16677.250000000000000
0400130107102,040,0130,1337687.836560000000000,4945.995554070000000,16677.000000000000000
0400130112504,040,0130,1248098.129570000000000,4722.943205870000000,16677.000000000000000
0400130110200,040,0130,2621182.500600000000000,6473.523318470000000,16675.000000000000000
0400130110100,040,0130,2560936.618420000000000,6396.661150440000000,16674.750000000000000
0400130109701,040,0130,1313301.010840000000000,4847.014815990000000,16673.500000000000000
0400130071700,040,0130,6018444.304830000000000,13252.039383500000000,16673.333333333300000
0400130114701,040,0130,7631778.962330000000000,12976.907453700000000,16673.222222222200000
0400130104214,040,0130,2464644.128340000000000,6314.414711680000000,16673.000000000000000
0400130111203,040,0130,430296.210250000000000,2683.288593800000000,16673.000000000000000
0400130114702,040,0130,614784.597109000000000,3091.730104140000000,16672.000000000000000
0400130114703,040,0130,2619435.152420000000000,6463.918348770000000,16672.000000000000000
0400130115900,040,0130,2573459.581430000000000,6404.705606990000000,16671.666666666700000
0400130093104,040,0130,3922757.310080000000000,8782.187875500000000,16670.500000000000000
0400130115300,040,0130,4345314.927890000000000,9165.602262630000000,16670.166666666700000
0400130115000,040,0130,2999737.625800000000000,6987.846931810000000,16669.750000000000000
0400130030327,040,0130,1545578.932830000000000,5324.915619730000000,16668.000000000000000
0400130112503,040,0130,2537512.566480000000000,6346.612963630000000,16667.250000000000000
0400130104215,040,0130,2357707.257610000000000,6084.021849530000000,16666.750000000000000
0400130092706,040,0130,28823683.071200000000000,25994.094423000000000,16666.512820512800000
0400130113900,040,0130,2668197.016120000000000,6531.453800310000000,16666.500000000000000
0400130071906,040,0130,2618892.910010000000000,6719.183130520000000,16666.250000000000000
0400130113700,040,0130,2470503.531270000000000,6298.298153620000000,16666.000000000000000
0400130030372,040,0130,7568948.155060000000000,12646.180811000000000,16665.500000000000000
0400130112507,040,0130,1199265.770120000000000,7155.709150800000000,16665.100000000000000
0400130110300,040,0130,2521706.419020000000000,6383.924787880000000,16664.750000000000000
0400130113800,040,0130,18895979.619200000000000,19978.490813200000000,16664.600000000000000
0400130116300,040,0130,2679656.545370000000000,6572.701112140000000,16664.250000000000000
0400130030337,040,0130,3216016.019500000000000,7201.757675300000000,16664.200000000000000
0400130112100,040,0130,2584856.889180000000000,6427.161382090000000,16664.000000000000000
0400130114900,040,0130,2884042.715500000000000,7106.993148760000000,16663.750000000000000
0400130092305,040,0130,2499150.155270000000000,6340.551218010000000,16663.500000000000000
0400130112202,040,0130,1120838.808030000000000,4822.637706440000000,16663.500000000000000
0400130071904,040,0130,2608777.886170000000000,6464.086832920000000,16662.250000000000000
0400130114600,040,0130,2587746.603610000000000,6456.823286450000000,16661.666666666700000
0400130114200,040,0130,1307096.462660000000000,4881.688317710000000,16661.500000000000000
0400130060900,040,0130,5965061.290140000000000,12253.324779600000000,16661.000000000000000
0400130216823,040,0130,14524402.794100000000000,15489.216653800000000,16660.562500000000000
0400130109801,040,0130,1196746.978480000000000,4737.481851770000000,16660.000000000000000
0400130112505,040,0130,2552282.210520000000000,6389.705012330000000,16659.500000000000000
0400130104501,040,0130,1220014.918960000000000,4726.650484340000000,16659.285714285700000
0400130030378,040,0130,84024099.070700000000000,45134.727613300000000,16658.666666666700000
0400130103303,040,0130,2578914.384060000000000,6393.722833570000000,16658.500000000000000
0400130114500,040,0130,2607008.843330000000000,6436.500844830000000,16658.500000000000000
0400130113400,040,0130,676932.311864000000000,3266.873272700000000,16658.400000000000000
0400130723301,040,0130,93572818.906500000000000,45632.989599300000000,16658.275229357800000
0400130071801,040,0130,4843807.011390000000000,8839.348829420000000,16657.166666666700000
0400130113602,040,0130,1043056.054170000000000,5137.375248990000000,16656.666666666700000
0400130030360,040,0130,2574243.481000000000000,6444.256686910000000,16656.000000000000000
0400130071511,040,0130,2278661.509930000000000,6748.031970340000000,16655.000000000000000
0400130103210,040,0130,2051667.041520000000000,6068.840555340000000,16654.000000000000000
0400130112000,040,0130,2604691.147080000000000,6465.734887480000000,16653.750000000000000
0400130030302,040,0130,2316041.075460000000000,6107.366087890000000,16652.750000000000000
0400130061008,040,0130,14957668.532000000000000,21366.515265400000000,16652.750000000000000
0400130112401,040,0130,1297938.141550000000000,4822.621627870000000,16652.500000000000000
0400130113500,040,0130,1924519.873550000000000,6488.057177730000000,16652.500000000000000
0400130103604,040,0130,3052442.659470000000000,8788.547503100000000,16652.000000000000000
0400130103609,040,0130,2459618.297010000000000,6290.478577610000000,16652.000000000000000
0400130104217,040,0130,2586524.244910000000000,6450.097183420000000,16652.000000000000000
0400130112601,040,0130,653610.695496000000000,4005.582156470000000,16651.800000000000000
0400130030303,040,0130,1264245.141640000000000,4748.466374620000000,16650.000000000000000
0400130109603,040,0130,1319175.942490000000000,5277.025165980000000,16650.000000000000000
0400130071911,040,0130,2630845.604450000000000,6554.401131730000000,16649.500000000000000
0400130030359,040,0130,2634197.279040000000000,6454.591078900000000,16649.250000000000000
0400130030308,040,0130,1277643.939870000000000,4792.133713260000000,16648.500000000000000
0400130109602,040,0130,1528606.667690000000000,5637.730845020000000,16648.500000000000000
0400130112402,040,0130,1288157.687390000000000,4812.479253670000000,16648.500000000000000
0400130030318,040,0130,2090266.564530000000000,5844.544521700000000,16648.333333333300000
0400130116204,040,0130,2578700.684140000000000,6434.237388570000000,16648.000000000000000
0400130319704,040,0130,7878050.105720000000000,13031.840253900000000,16648.000000000000000
0400130218200,040,0130,2579616.673120000000000,6444.334354250000000,16646.500000000000000
0400130030307,040,0130,1276086.627070000000000,4760.740159820000000,16646.000000000000000
0400210000306,040,0210,105758178.012000000000000,44687.338947100000000,16646.000000000000000
0400130103608,040,0130,2460054.428130000000000,6248.443664300000000,16645.666666666700000
0400130071600,040,0130,2685912.856380000000000,7981.208886110000000,16645.500000000000000
0400130114401,040,0130,1396316.441350000000000,4974.946238630000000,16645.500000000000000
0400130113300,040,0130,2598820.006750000000000,6458.865238790000000,16644.000000000000000
0400130422107,040,0130,641395.644280000000000,3192.919865750000000,16644.000000000000000
0400130082008,040,0130,1299383.323950000000000,4850.741137660000000,16643.500000000000000
0400130112302,040,0130,1322467.898010000000000,4884.051589150000000,16643.500000000000000
0400130071509,040,0130,4967790.800590000000000,9389.982483860000000,16642.750000000000000
0400130113601,040,0130,1617973.007540000000000,5765.162106140000000,16642.000000000000000
0400130522730,040,0130,5464522.005360000000000,9826.691859930000000,16642.000000000000000
0400130110002,040,0130,1182696.947920000000000,4706.587449570000000,16641.500000000000000
0400130103211,040,0130,2650321.947680000000000,6502.043667630000000,16641.250000000000000
0400130107202,040,0130,1241941.124880000000000,4717.224039750000000,16641.000000000000000
0400130112508,040,0130,2014414.504290000000000,5717.889701460000000,16641.000000000000000
0400130109802,040,0130,1309564.238930000000000,4868.512146970000000,16640.000000000000000
0400130071903,040,0130,2613946.721420000000000,6460.446888160000000,16639.750000000000000
0400130103302,040,0130,2461742.711630000000000,6521.314911760000000,16639.750000000000000
0400130319703,040,0130,2780378.712280000000000,6846.886391020000000,16639.750000000000000
0400130092709,040,0130,2574327.230530000000000,6434.347232100000000,16639.500000000000000
0400130109000,040,0130,2550636.049120000000000,6373.935056600000000,16639.500000000000000
0400130112700,040,0130,2572756.924720000000000,6428.569802900000000,16639.500000000000000
0400130522731,040,0130,5220995.073620000000000,9710.400052810000000,16639.000000000000000
0400130115200,040,0130,7200579.242390000000000,12330.268691600000000,16638.363636363600000
0400130030331,040,0130,2592840.479500000000000,6465.065274320000000,16638.250000000000000
0400130030365,040,0130,2496132.248690000000000,7152.891854410000000,16638.000000000000000
0400130071503,040,0130,3955585.152520000000000,8294.811492120000000,16638.000000000000000
0400130103215,040,0130,2611548.828130000000000,6473.927762150000000,16638.000000000000000
0400130111202,040,0130,863348.521804000000000,3964.816987270000000,16638.000000000000000
0400130114302,040,0130,1310293.863770000000000,4814.244270420000000,16638.000000000000000
0400130104000,040,0130,2592062.193610000000000,6449.530647410000000,16637.250000000000000
0400130104203,040,0130,2558194.603710000000000,6404.640039480000000,16637.000000000000000
0400130105602,040,0130,1264292.061780000000000,4782.190001770000000,16637.000000000000000
0400130109400,040,0130,2597117.407700000000000,6462.064146540000000,16636.500000000000000
0400130114100,040,0130,1302979.276080000000000,4860.683769200000000,16636.500000000000000
0400130318501,040,0130,1234559.946010000000000,5559.347333440000000,16636.250000000000000
0400130111501,040,0130,701467.965475000000000,3730.063412360000000,16636.000000000000000
0400130112602,040,0130,1946007.093300000000000,5622.253119940000000,16636.000000000000000
0400130030304,040,0130,2655242.865150000000000,6502.521276510000000,16635.750000000000000
0400130109100,040,0130,2556144.675880000000000,6396.194523380000000,16635.000000000000000
0400130107201,040,0130,1268368.727010000000000,4752.954332920000000,16634.833333333300000
0400130104212,040,0130,2528776.960320000000000,6384.297329820000000,16634.750000000000000
0400130030313,040,0130,2604132.029320000000000,6477.430676510000000,16634.500000000000000
0400130109500,040,0130,2537257.886440000000000,6357.331871490000000,16634.250000000000000
0400130104400,040,0130,5147528.363010000000000,9654.528560380000000,16634.000000000000000
0400130105702,040,0130,1277457.273030000000000,4790.963037960000000,16633.857142857100000
0400130030309,040,0130,2709707.370640000000000,6593.030043630000000,16633.500000000000000
0400130104205,040,0130,3465966.850470000000000,8822.254719850000000,16633.500000000000000
0400130103304,040,0130,933993.792050000000000,4361.951590940000000,16633.333333333300000
0400130030357,040,0130,3379468.674700000000000,9486.198223370000000,16632.600000000000000
0400130092900,040,0130,2659576.831600000000000,6693.769385440000000,16632.000000000000000
0400130030355,040,0130,3989331.514820000000000,8495.834601670000000,16631.800000000000000
0400130071908,040,0130,3936760.425800000000000,8727.608252020000000,16631.800000000000000
0400130092713,040,0130,2620542.411560000000000,6509.261801010000000,16631.500000000000000
0400130116203,040,0130,8055728.248770000000000,13052.553157300000000,16631.100000000000000
0400130105800,040,0130,2584461.913270000000000,6433.081084390000000,16630.500000000000000
0400130112800,040,0130,2621437.918580000000000,6478.263041150000000,16630.000000000000000
0400130061006,040,0130,116738958.953000000000000,76164.443049500000000,16629.697183098600000
0400130040507,040,0130,7485591.508550000000000,14096.973789100000000,16629.666666666700000
0400130071910,040,0130,2601885.282930000000000,6383.623284250000000,16629.500000000000000
0400130318900,040,0130,2592234.813900000000000,6463.737041140000000,16629.250000000000000
0400130061007,040,0130,57196926.411100000000000,35927.447866400000000,16628.666666666700000
0400130030323,040,0130,1518634.537140000000000,5403.325034870000000,16627.500000000000000
0400130114000,040,0130,2604063.575590000000000,6440.562424620000000,16627.500000000000000
0400130030341,040,0130,2589817.887080000000000,6433.731474310000000,16627.000000000000000
0400130030361,040,0130,2596056.851210000000000,6429.036417020000000,16627.000000000000000
0400130105701,040,0130,1282141.831590000000000,4801.475834430000000,16627.000000000000000
0400130522715,040,0130,2616195.555720000000000,6483.359816420000000,16627.000000000000000
0400130103205,040,0130,2775527.986560000000000,6807.447470180000000,16626.750000000000000
0400130103900,040,0130,2491053.178180000000000,6336.480852130000000,16626.500000000000000
0400130106900,040,0130,2581079.029380000000000,6431.906593440000000,16626.500000000000000
0400130104300,040,0130,2602546.411890000000000,6467.393774710000000,16626.000000000000000
0400130107101,040,0130,1244732.746620000000000,4773.538271440000000,16626.000000000000000
0400130104219,040,0130,2539918.307950000000000,6361.643386450000000,16625.750000000000000
0400130110400,040,0130,2486525.140780000000000,6318.096388070000000,16624.500000000000000
0400130103501,040,0130,2070064.523130000000000,6691.126485020000000,16624.333333333300000
